Nom;Keywords;Budget;Feel;Style;Type de vidéo
FireFlex – ICAF Animation 3D;Animation 2D et 3D · Produit;10 000 – 20 000$;Informatif;Animation 3D · Motion Design;Animation 3D
FJET – Mentalisation;Animateur · Acteur · Nourriture;5000 – 10 000$;Humour · Dynamique · Informatif · Énergétique;Stabilisateur · Trépied · Motion Design;Capsule
FJET – On jase avec Maude;Acteur · Animateur;5000 – 10 000$;Humour · Dynamique · Informatif · Énergétique;Stabilisateur · Trépied · Motion Design;Capsule
FJET – Pleine conscience;Acteur · Animateur · Conversation · Ado;3000 – 5000$;Humour · Dynamique · Informatif · Énergétique;Stabilisateur · Trépied · Podcast · Timelapse;Capsule
FJET – Santé Mentale Horizontal_VF;Acteur · Animateur · Conversation · Ado;3000 – 5000$;Humour · Dynamique · Informatif · Énergétique;Stabilisateur · Trépied · Motion Design;Capsule
Fondation Anna-Laberge – 8e Omnium Thibert – Recap;Golf · Sports · Conférencier;3000 – 5000$;Dynamique · Énergétique;Épaule · Stabilisateur · Drone · Ralenti;Événement
Fondation jeunes en tête – Lysanne et Kim – Expérience;Conversation · Ado;3000 – 5000$;Dynamique · Informatif · Passion;Épaule · Stabilisateur · Podcast;Corpo
Fondation jeunes en tête – Regards croisés;Conversation · Ado;3000 – 5000$;Dynamique · Informatif · Passion;Stabilisateur · Entrevue · Trépied · Podcast;Capsule
Frakass – En mode survie – Tasmania;Vêtements · Nature · Animateur · Présentation;3000 – 5000$;Informatif · Passion;Stabilisateur · Épaule · Trépied;Capsule
Frakass – Porsche;Voiture · Produit · Événement · Animateur · Présentation;3000 – 5000$;Dynamique · Informatif;B-roll · Épaule · Stabilisateur;Événement
Francofête 2024 – PY;Animateur · Animation 2D et 3D;1000 – 3000$;Humour · Dynamique · Informatif · Énergétique;Stabilisateur · Trépied · Motion Design · Icône;Story
François Bellefeuille – Noël;Acteur · Nourriture · Noël;5000 – 10 000$;Humour · Dynamique;Stabilisateur · Trépied;Publicité
Garage Desmarais – Présentation;Voiture · Technologie;5000 – 10 000$;Dynamique · Informatif · Passion;Entrevue · B-roll · Épaule · Stabilisateur;Corpo
GE – Promo Générale;Entrepôt · Bureau · Produit · Technologie;5000 – 10 000$;Dynamique · Informatif · Passion;Entrevue · B-roll · Épaule · Stabilisateur · Drone;Corpo
General Electric – Générale;Construction · Bureau · Technologie · Entrepôt · Employés;5000 – 10 000$;Dynamique · Passion;Entrevue · B-roll · Épaule · Stabilisateur · Drone · Stock Footage · Ralenti · Vidéo portrait;Corpo
GMF_MERCIER_2024;Bureau · Technologie · Santé;5000 – 10 000$;Informatif;Entrevue · B-roll · Épaule · Stabilisateur;Corpo
Groupe évolution – Présentation;Bureau;5000 – 10 000$;Informatif;Entrevue · B-roll · Épaule · Stabilisateur · Stock Footage;Corpo
Habitation Bordeleau – Festif HB;Communautaire · Nourriture · Restaurant · Santé · Aînés · Employés · Événement;5000 – 10 000$;Dynamique · Énergétique · Passion · Enjoué · Festif · Émotion · Grandiose;Entrevue · B-roll · Épaule · Drone · Voix-off · Ralenti;Corpo
Habitation Bordeleau – Rêve Vœux;Bière et vin · Musique · Événement · Mariage · Danse;3000 – 5000$;Enjoué · Festif · Nostalgique · Émotion · Grandiose;Épaule · Stabilisateur;Capsule
Habitation Bordeleau – Vidéoclip Cabane à Sucre;Communautaire · Nourriture · Commerce · Bière et vin · Musique · Produit · Art · Nature · Danse;5000 – 10 000$;Humour · Dynamique · Énergétique · Enjoué · Festif;B-roll · Épaule · Drone · Ralenti · Photo Flash · Photos · Stock Footage;Vidéoclip
Habitations Bordeleau – Présentation;Santé · Aînés;5000 – 10 000$;Informatif · Passion · Émotion;Entrevue · B-roll · Épaule · Stabilisateur · Drone · Stock Footage · Ralenti;Corpo
Habitations Bordeleau – Présentation.mov (Sports);Restaurant · Santé · Sports · Golf · Aînés · Employés;3000 – 5000$;Dynamique · Informatif · Passion · Enjoué · Rassurant;Entrevue · B-roll · Épaule · Stabilisateur · Drone · Vidéo portrait;Corpo
Habitations Bordeleau – Rêve d’un jour – Émilie Bilodeau;Animateur · Événement · Musique;3000 – 5000$;Dynamique · Passion;B-roll · Épaule · Trépied;Capsule
Habitations Bordeleau – Rêve d’un jour – Parachute;Nature · Employés;5000 – 10 000$;Dynamique · Informatif · Passion · Enjoué · Épique;Entrevue · B-roll · Épaule · Drone · GoPro;Capsule
Habitations Bordeleau – Rêve d’un jour – Super héros;Animateur · Ado;3000 – 5000$;Humour · Dynamique · Émotion · Passion;Entrevue · B-roll · Épaule · Stabilisateur · Ralenti;Capsule
Habitations Bordeleau – Rêve d’un jour – Vœux;Mariage · Événement · Aînés;3000 – 5000$;Dynamique · Passion · Enjoué · Émotion;Entrevue · B-roll · Épaule · Stabilisateur · Ralenti;Capsule
Habitations Bordeleau – Rêve d’un jour – Voiture;Voiture · Animateur · Employés;3000 – 5000$;Dynamique · Énergétique · Passion · Épique;Entrevue · B-roll · Drone · Épaule · Stabilisateur;Capsule
Habitations Bordeleau – Rêve Styliste;Commerce · Produit · Vêtements · Bijoux;1000 – 3000$;Dynamique · Passion · Énergétique · Émotion;Entrevue · B-roll · Épaule;Capsule
HAINAUT – VOXPOP Drummondville;Art · Événement;1000 – 3000$;Dynamique · Énergétique · Passion · Festif;Vox-Pop;Événement
Haut-Richelieu – Bac Bruns;Communautaire · Nourriture · Commerce · Restaurant · Santé · Présentation;3000 – 5000$;Dynamique · Informatif;Motion Design · Voix-off · Icône;Motion design
Hazelview – Bolshov Final;Enfant · Conversation;5000 – 10 000$;Humour · Sérieux · Nostalgique · Émotion;Entrevue · B-roll · Épaule · Stabilisateur · Drone · Vidéo portrait · Photos;Corpo
Hazelview – CORP CULTURE AWARDS;Employés · Événement · Bureau;1000 – 3000$;Dynamique · Informatif · Passion;Entrevue · B-roll · Trépied · Épaule · Vidéo portrait;Corpo
Hazelview – Investment;Employés · Bureau;10 000 – 20 000$;Dynamique · Informatif · Passion;Entrevue · B-roll · Épaule · Stabilisateur · Drone · Ralenti · Vidéo portrait;Corpo
Hazelview – Ivan;Employés · Bureau · Sports;5000 – 10 000$;Dynamique · Énergétique · Passion;Entrevue · B-roll · Épaule · Stabilisateur · Photos;Corpo
Hazelview – Jasmin;Employés · Bureau · Conversation;5000 – 10 000$;Dynamique · Triste · Passion · Émotion;Entrevue · B-roll · Épaule · Trépied · Photos;Corpo
Hazelview – Morgan;Employés · Bureau · Construction;5000 – 10 000$;Dynamique · Informatif · Passion · Nostalgique;Entrevue · B-roll · Épaule · Trépied · Photos · Vidéo portrait;Corpo
Hazelview – Nicole;Employés · Communautaire · Enfant · Événement;5000 – 10 000$;Dynamique · Énergétique · Passion · Festif;Entrevue · B-roll · Épaule · Drone · Photos · Ralenti · Vidéo portrait;Corpo
Hazelview – Provenych;Enfant · Sports;5000 – 10 000$;Dynamique · Triste · Nostalgique · Émotion;Entrevue · B-roll · Épaule · Trépied · Vidéo portrait · Ralenti · Photos · Drone;Corpo
HAZELVIEW EM (VF);Communautaire · Santé · Enfance;3000 – 5000$;Émotion · Nostalgique · Triste;Entrevue · B-roll · Épaule · Stabilisateur · Drone · Photo Flash · Ralenti · Vidéo portrait;Documentaire
Héritage St-Bernard – Gala 2024;Communautaire · Nourriture · Nature · Événement · Conférencier · Présentation;3000 – 5000$;Dynamique · Festif;B-roll · Épaule · Stabilisateur · Drone;Événement
Hôpital du Suroît – Défi vélo 2023;Nature · Sports · Événement;3000 – 5000$;Dynamique · Énergétique · Passion;B-roll · Épaule · Stabilisateur · Drone · Vidéo portrait;Événement
Île Perrot – Festival de la soupe;Communautaire · Nourriture · Événement · Festival;1000 – 3000$;Dynamique · Passion · Festif;B-roll · Épaule · Drone · Stabilisateur;Événement
Isabelle – September Morn;Musique · Art · Nature;1000 – 3000$;Triste · Nostalgique · Émotion;Épaule;Vidéoclip
JAHR – Présentation;Présentation · Message visuel;1000 – 3000$;Sérieux · Informatif · Dynamique;Trépied · Motion Design;Capsule
Jay – On est content;Acteur · Musique · Événement;3000 – 5000$;Humour · Dynamique · Énergétique · Festif;Épaule · Stabilisateur · Ralenti;Vidéoclip
Jeux du commerce – Présentations;Acteur · Communautaire · École · Événement · Présentation;3000 – 5000$;Dynamique · Énergétique · Passion · Festif · Épique;Stabilisateur · B-roll · Ralenti · Trépied;Corpo
Jeux du commerce – RECAP 2023;Commerce · École · Événement · Sports;3000 – 5000$;Dynamique · Énergétique · Passion · Festif · Épique;B-roll · Stabilisateur · Trépied · Drone · Ralenti · Motion Design;Événement
La Chambre – Banquette;Acteur · Bar · Nourriture · Restaurant;5000 – 10 000$;Humour · Dynamique;Stabilisateur · Trépied · Verticale;Publicité
La Chambre – Sherif;Acteur · Nourriture · Bar · Restaurant · Produit;5000 – 10 000$;Humour · Dynamique;Stabilisateur · Trépied · Verticale;Publicité
La Chambre – Spot TV;Acteur · Bar · Nourriture · Bière et vin · Restaurant · Commerce;5000 – 10 000$;Humour · Dynamique · Énergétique;Stabilisateur;Publicité
Laser Ultra;Construction · Bureau · Technologie · Entrepôt;3000 – 5000$;Dynamique · Passion;Entrevue · B-roll · Épaule · Drone;Corpo
Lendemain de veille – Autour de la table;Musique · Animateur · Événement;3000 – 5000$;Humour · Dynamique;Stabilisateur;Publicité
Lendemain de veille – Bière froide;Acteur · Musique · Science;5000 – 10 000$;Humour · Dynamique · Énergétique · Passion · Épique;Épaule · Stabilisateur · Trépied · Ralenti;Vidéoclip
Lendemain de veille – Hiver au grand air;Voiture · Musique · Hiver · Art · Nature · Feu;5000 – 10 000$;Dynamique · Enjoué · Nostalgique · Émotion;Épaule · Ralenti;Vidéoclip
Lendemain de veille – Le violon de mon grand-père;Musique · Art;3000 – 5000$;Énergétique · Passion · Dynamique;Épaule;Vidéoclip
Lendemain de veille – Madeleine;Animation 2D et 3D · Musique;3000 – 5000$;Humour · Dynamique · Énergétique · Passion;Trépied · Green Screen;Vidéoclip
Lendemain de veille – Mémère Tremblay;Acteur · Bière et vin · Musique · Aînés;5000 – 10 000$;Humour · Dynamique · Énergétique;Stabilisateur · Trépied;Vidéoclip
Lendemain de veille – Père Abraham;Bière et vin · Musique · Art · Événement · Danse;5000 – 10 000$;Dynamique · Énergétique · Passion · Festif;B-roll · Épaule · Stabilisateur · Ralenti;Vidéoclip
Les Molles;Acteur · Nourriture · Commerce · Enfant · Produit · Animaux;1000 – 3000$;Dynamique · Énergétique · Enjoué;B-roll · Épaule · Ralenti · Photo Flash;Publicité
Liberté de choisir – Waxpen – Capsule 1;Produit · Technologie · Science;1000 – 3000$;Informatif · Dynamique;Stock Footage · Motion Design · Icône · Animation 3D;Motion design
Liberté de choisir – Waxpen – Capsule 5;Produit · Technologie · Science;1000 – 3000$;Informatif · Dynamique · Humour;Stock Footage · Motion Design · Icône · Animation 3D;Motion design
Libre media – Présentation;Communautaire · Produit · Technologie · Présentation;3000 – 5000$;Sérieux · Informatif · Dynamique · Passion;Entrevue · B-roll · Trépied · Stock Footage · Motion Design;Publicité
Maghreb sans tabou – Lettre aux parents;Santé · Enfance;1000 – 3000$;Sérieux · Émotion · Rassurant;Stock Footage · Trépied · B-roll · Verticale;Publicité
Maghreb sans tabou – Épisode 04;Enfance;1000 – 3000$;Sérieux · Émotion;Entrevue · Trépied;Capsule
Maison de soins palliatifs Mercier – Témoignages;Hiver · Santé · Nature · Aînés;5000 – 10 000$;Triste · Informatif · Nostalgique · Émotion;Entrevue · B-roll · Trépied · Drone · Stabilisateur · Ralenti;Corpo
Mariage – Frédéric et Geneviève;Mariage · Événement;3000 – 5000$;Dynamique · Passion · Festif · Émotion;Stabilisateur · Ralenti · Vidéo portrait;Événement
Mariage – Kristian & Sara;Bière et vin · Événement · Mariage · Danse;3000 – 5000$;Enjoué · Festif · Grandiose · Émotion;Stabilisateur · Épaule;Événement
Mariage – Carole-Anne et Samuel;Mariage · Nourriture · Enfant · Bière et vin · Nature;3000 – 5000$;Humour · Dynamique · Énergétique · Passion · Enjoué;B-roll · Stabilisateur · Ralenti · Vidéo portrait · Drone;Événement
Mariage – Joannie et David.mov;Nourriture · Bière et vin · Musique · Événement · Mariage;3000 – 5000$;Dynamique · Enjoué · Festif · Émotion · Grandiose;Stabilisateur · Épaule · Drone · Ralenti;Événement
Mariage Julie et Jean-Philippe;Nourriture · Bière et vin · Musique · Événement · Mariage;3000 – 5000$;Dynamique · Enjoué · Nostalgique · Émotion · Grandiose;Stabilisateur · Épaule · Drone · Ralenti;Événement
Mariage Pierre et Sabrina;Événement · Mariage · Danse;3000 – 5000$;Enjoué · Festif · Grandiose;B-roll · Épaule · Stabilisateur;Événement
Matériaux Miron – Promo;Acteur · Construction · Commerce · Produit · Entrepôt;3000 – 5000$;Dynamique;Stabilisateur · Drone · Ralenti;Publicité
Matériaux Miron – Rosaire;Construction · Commerce · Technologie · Employés;3000 – 5000$;Dynamique · Informatif;Stop-motion · Entrevue · B-roll · Trépied;Capsule
Matériaux Miron – Sursales;Acteur · Construction · Commerce · Produit · Employés;3000 – 5000$;Dynamique;Stabilisateur · Drone;Publicité
MDJ – C’est malade – Bibliothèque;Ado · Conversation · Acteur · Communautaire;3000 – 5000$;Humour · Dynamique · Informatif · Énergétique;Stabilisateur · Trépied · Voix-off;Capsule
MDJ – C’est malade – Salon;Communautaire · Acteur · Ado;3000 – 5000$;Humour · Dynamique · Informatif · Énergétique;Stabilisateur · Trépied · Voix-off;Capsule
MONDOUX – All in one Service;Épicerie · Acteur · Nourriture · Commerce · Produit · Message visuel · Présentation · Employés;5000 – 10 000$;Dynamique · Informatif · Énergétique;B-roll · Trépied · Motion Design;Corpo
Monts Groulx;Nature · Sports · Événement;5000 – 10 000$;Passion · Enjoué · Grandiose;B-roll · Stock Footage · GoPro;Documentaire
MRC Beauharnois-Salaberry – Escapade – Teaser;Acteur · Communautaire · Nourriture · Restaurant · Nature · Sports · Bateau;1000 – 3000$;Dynamique · Énergétique · Passion · Épique;Stabilisateur · Stock Footage · Ralenti · Vidéo portrait;Publicité
MRC Jardins de Napierville – Circuit;Communautaire · Nature · Message visuel;1000 – 3000$;Dynamique · Informatif;Stabilisateur · Stock Footage · Ralenti;Publicité
MRC Roussillon – Bac bruns;Produit · Message visuel · Science;3000 – 5000$;Informatif · Dynamique;Motion Design · Icône;Motion design
MrClim – Installation Air Clim;Construction · Produit · Technologie · Employés;1000 – 3000$;Dynamique · Informatif · Énergétique · Épique;Stabilisateur · Épaule · B-roll · Ralenti · Photo Flash;Corpo
Nez Rouge – Châteauguay;Voiture · Communautaire · Noël · Hiver;1000 – 3000$;Humour · Informatif · Énergétique;Trépied;Publicité
Noth – CF Pointe Claire;Art · Présentation;1000 – 3000$;Dynamique · Informatif · Passion;Entrevue · B-roll · Trépied · Vidéo portrait;Capsule
OQLF – Balentin;Acteur · Enfant · École · Animateur;5000 – 10 000$;Humour · Dynamique · Informatif · Énergétique;Entrevue · B-roll · Stabilisateur · Trépied · Drone · Animation 3D;Capsule
OQLF – Plaisard;Acteur · Enfant · École · Animateur · Ado;5000 – 10 000$;Humour · Dynamique · Informatif · Énergétique;Entrevue · B-roll · Stabilisateur · Drone · Trépied · Ralenti · Animation 3D;Capsule
OQLF – Soidenter;Acteur · Enfant · École · Animateur · Ado;5000 – 10 000$;Humour · Dynamique · Informatif · Énergétique;Entrevue · B-roll · Stabilisateur · Drone · Trépied · Ralenti · Animation 3D;Capsule
Parkinson Québec – BTS Pub;Acteur · Art · Musique · Technologie;3000 – 5000$;Dynamique · Énergétique · Passion · Émotion;Entrevue · B-roll · Épaule · Stabilisateur · Trépied · Ralenti;BTS
Parkinson Québec – Défi Vélo 2023;Communautaire · Santé · Nature · Événement;1000 – 3000$;Dynamique · Informatif · Énergétique · Émotion;Entrevue · B-roll · Épaule · Stabilisateur · Drone · Ralenti;Capsule
Police du Haut-Richelieu – Pub Recrutement;Voiture · Communautaire · Bureau · Nature · Sports · Bateau · Employés;10 000 – 20 000$;Sérieux · Dynamique · Passion · Grandiose · Épique · Rassurant;B-roll · Épaule · Stabilisateur · Drone · Voix-off;Publicité
Pop Underwear – Pirate;Acteur · Vêtements · Nature · Événement · Sports · Festival;1000 – 3000$;Dynamique · Énergétique · Festif · Épique;Épaule · Stabilisateur · Drone · Ralenti;Publicité
Projet Montréal – Crise du logement;Communautaire · Message visuel;1000 – 3000$;Sérieux · Informatif · Dynamique;B-roll · Stabilisateur · Drone · Stock Footage · Voix-off;Capsule
Projet Montréal – Plastique à usage unique;Communautaire · Message visuel;1000 – 3000$;Sérieux · Dynamique · Informatif;B-roll · Stabilisateur · Drone · Stock Footage · Voix-off;Capsule
Projet Montréal – Propriétaires responsables;Communautaire · Message visuel;1000 – 3000$;Sérieux · Informatif;Entrevue · B-roll · Stabilisateur · Stock Footage;Capsule
Projet Montréal – Rosemont;Communautaire · Message visuel;1000 – 3000$;Sérieux · Dynamique · Informatif;Entrevue · B-roll · Stabilisateur · Drone · Stock Footage · Ralenti;Capsule
Projet Montréal – Sommet sur les chantiers;Communautaire · Construction · Message visuel;1000 – 3000$;Sérieux · Informatif;B-roll · Drone · Épaule · Stabilisateur · Ralenti · Stock Footage · Voix-off;Capsule
RAPSIM – Présentation;Communautaire · Santé · Message visuel;1000 – 3000$;Sérieux · Informatif;B-roll · Épaule · Stabilisateur · Drone · Ralenti · Voix-off;Capsule
Régates de Valleyfield – 13 juillet 2024;Musique · Art · Événement · Festival;10 000 – 20 000$;Passion · Festif · Énergétique;Trépied · Épaule;Caption
Régates de Valleyfield – DBOX;Produit · Nature · Sports · Bateau;3000 – 5000$;Dynamique · Énergétique · Épique;B-roll · Épaule · Stabilisateur · Drone · POV;Événement
Régates de Valleyfield – Promo TV 2024;Nature · Sports · Événement · Bateau;1000 – 3000$;Dynamique · Énergétique · Festif · Épique;B-roll · Stabilisateur · Drone · Motion Design;Publicité
Régates de Valleyfield – RECAP 2024;Musique · Nature · Sports · Événement · Festival · Bateau;3000 – 5000$;Dynamique · Énergétique · Passion · Festif · Épique;B-roll · Épaule · Stabilisateur · Drone;Événement
Régie Beau Château – Sportplex;Communautaire · Gym · Santé · Sports · Conférencier;3000 – 5000$;Dynamique · Informatif · Passion;Entrevue · B-roll · Épaule · Stabilisateur · Photos;Corpo
Résovelo – RECAP;Communautaire · Sports · Nature;3000 – 5000$;Dynamique · Énergétique · Passion;Entrevue · B-roll · Épaule · Stabilisateur · Motion Design;Événement
ROEQ – Capsule Cyberintimidation_AN;Acteur · Communautaire · Animateur · Ado · Présentation;5000 – 10 000$;Humour · Sérieux · Dynamique · Informatif · Passion;B-roll · Trépied · Épaule · Stock Footage;Capsule
ROEQ – Capsule Cyberprédateur_AN;Communautaire · Enfant · École · Technologie · Animateur · Présentation;5000 – 10 000$;Humour · Sérieux · Dynamique · Informatif · Énergétique · Passion;B-roll · Épaule · Stabilisateur · Stock Footage · Motion Design · Photos;Capsule
ROEQ – Capsule Cybersécurité_AN;Communautaire · Enfant · École · Technologie · Animateur · Présentation;5000 – 10 000$;Humour · Dynamique · Informatif · Énergétique;B-roll · Épaule · Stabilisateur · Stock Footage · Motion Design · Photos;Capsule
ROEQ – Mon corps est à moi;Acteur · Communautaire · Enfant · Musique · Santé;3000 – 5000$;Humour · Dynamique · Informatif · Énergétique · Enjoué;B-roll · Épaule · Stabilisateur · Trépied · Motion Design;Capsule
ROEQ – My Body Belongs To Me;Acteur · Communautaire · Enfant · Musique · Santé;3000 – 5000$;Humour · Dynamique · Informatif · Énergétique · Enjoué;B-roll · Épaule · Stabilisateur · Trépied · Ralenti · Motion Design;Capsule
ROEQ – Tu pipes;Acteur · Communautaire · Enfant · Musique · École · Technologie · Ado · Danse;5000 – 10 000$;Humour · Dynamique · Informatif · Énergétique;Épaule · Stabilisateur · Trépied · Motion Design · Photos;Capsule
ROEQ – Use CIBER;Acteur · Communautaire · Enfant · Musique · École · Technologie · Ado · Danse;5000 – 10 000$;Humour · Dynamique · Informatif · Énergétique;Épaule · Stabilisateur · Trépied · Motion Design · Photos;Capsule
RT21 – Journée mondiale de la trisomie 21;Acteur · Communautaire · Enfant · Hiver · École · Nature · Enfance;5000 – 10 000$;Dynamique · Informatif · Émotion;Épaule · Stabilisateur · Vidéo portrait;Publicité
Rubicon – Ferrari/Rayban;Voiture · Commerce · Produit · Vêtements · Bijoux · Événement;1000 – 3000$;Dynamique · Enjoué · Festif;Épaule · Ralenti;Événement
Salma – Maghreb sans tabou;Acteur · Musique · Nature · Message visuel · Danse;1000 – 3000$;Sérieux · Dynamique · Passion · Émotion;Épaule · Stabilisateur · Ralenti · Vidéo portrait · Verticale;Story
Sam Binette Courtier – Présentation;Bureau · Produit · Présentation · Employés;1000 – 3000$;Dynamique · Informatif;B-roll · Épaule · Stabilisateur · Ralenti · Drone;Publicité
Sandra et Gaëtan;Nourriture · Bière et vin · Événement · Mariage;3000 – 5000$;Dynamique · Enjoué · Festif · Nostalgique · Émotion · Grandiose;B-roll · Épaule · Stabilisateur · Drone · Ralenti;Événement
Santé mentale – École Baie-Saint-François;Communautaire · École · Santé · Ado;1000 – 3000$;Sérieux · Dynamique · Informatif;Entrevue · B-roll · Épaule · Photo Flash;Capsule
SAP – Hiver;Hiver · Technologie · Nature · Employés;1000 – 3000$;Dynamique · Informatif · Passion;Entrevue · B-roll · Épaule · Stabilisateur · Drone;Capsule
SAP – Micro Foret Mercier;Communautaire · Technologie · Nature · Science · Événement · Employés;1000 – 3000$;Dynamique · Passion · Enjoué;Entrevue · B-roll · Épaule · Stabilisateur · Drone;Capsule
SAP – Promo générale;Technologie · Nature · Employés;1000 – 3000$;Dynamique · Informatif;Entrevue · B-roll · Épaule · Stabilisateur · Drone;Publicité
SAQ – 90SEC – ANJU;Bureau · Employés · Bière et vin;1000 – 3000$;Dynamique · Passion;Entrevue · Trépied;Capsule
SAQ – Contremaître – Josue;Bière et vin · Bureau · Produit · Technologie · Entrepôt · Employés;1000 – 3000$;Dynamique · Énergétique · Passion;Entrevue · B-roll · Épaule · Vidéo portrait;Corpo
SAQ – Contremaître;Bière et vin · Bureau · Entrepôt · Employés;1000 – 3000$;Dynamique · Passion;Entrevue · B-roll · Épaule · Vidéo portrait;Corpo
SAQ – Formation SST;Animateur · Santé · Commerce · Entrepôt · Employés;3000 – 5000$;Sérieux · Dynamique · Informatif;B-roll · Trépied · Stabilisateur · Motion Design;Capsule
SAQ – ISABELLE – 90s;Bière et vin · Bureau · Employés;1000 – 3000$;Dynamique · Énergétique · Passion · Enjoué;Entrevue · Trépied;Capsule
SAQ – Le temps d’un café – Tendances produits;Café · Conversation · Employés;1000 – 3000$;Dynamique · Informatif · Énergétique;Entrevue · Trépied · Stabilisateur · Motion Design · Podcast;Capsule
SAQ – Léger ou corsé – Anju et Isabelle;Bière et vin · Produit · Conversation;1000 – 3000$;Humour · Énergétique · Enjoué;Trépied · Podcast · Entrevue;Capsule
SAQ – Léger ou corsé – Carl et Edith;Commerce · Bière et vin · Produit · Animateur · Conversation · Employés;1000 – 3000$;Humour · Dynamique · Informatif · Passion · Énergétique;Entrevue · Trépied · Stabilisateur · Stock Footage · Green Screen · Motion Design · Podcast;Capsule
SAQ – Message du président;Commerce · Produit · Bière et vin · Employés · Entrepôt;1000 – 3000$;Dynamique · Informatif;Entrevue · B-roll · Épaule · Stabilisateur · Trépied;Capsule
SAQ – Mois de l’histoire des Noirs;Communautaire · Message visuel · Conversation · Présentation · Employés;1000 – 3000$;Sérieux · Dynamique · Informatif · Passion;Trépied · Motion Design · Entrevue · B-roll;Capsule
SAQ – Nouvelle évaluation employés;Animation 2D et 3D · Bière et vin · Présentation · Employés;3000 – 5000$;Informatif;Motion Design · Trépied · Icône;Capsule
SAQ – Parcours de la bouteille 2;Commerce · Bière et vin · Produit · Santé · Animateur · Présentation · Employés;3000 – 5000$;Sérieux · Informatif;B-roll · Épaule · Trépied;Capsule
SAQ – Pub SST;Commerce · Bière et vin · Entrepôt · Produit · Employés;1000 – 3000$;Dynamique · Informatif · Énergétique;Entrevue · B-roll · Stabilisateur · Drone · Motion Design;Publicité
Service de l’adaptation – Pour description;Communautaire · Santé · Hôpital · Employés;3000 – 5000$;Informatif · Sérieux · Émotion;Entrevue · B-roll · Épaule;Corpo
Servissem – Promo;Nourriture · Produit · Technologie · Entrepôt · Employés;3000 – 5000$;Dynamique · Informatif · Grandiose;Stabilisateur · B-roll · Drone;Publicité
SGM – Promo 30 secondes;Construction · Commerce · Entrepôt · Employés · Technologie;3000 – 5000$;Dynamique · Énergétique · Épique;B-roll · Épaule · Stabilisateur · Drone · Ralenti;Publicité
SOUCY – Pelouse et entretien;Nature · Employés;3000 – 5000$;Dynamique · Énergétique · Passion;Entrevue · B-roll · Épaule · Vidéo portrait · Photo Flash;Corpo
STCH – Spectacle 2024;Musique · Art · Événement · Danse;5000 – 10 000$;Dynamique · Énergétique · Festif;Trépied;Caption
Sterna – Colombie;Communautaire · Bureau · Animateur · Conversation · Présentation · Entrepôt · Employés;10 000 – 20 000$;Humour · Sérieux · Dynamique · Informatif · Passion · Émotion;Entrevue · B-roll · Épaule · Stabilisateur · Drone · Trépied · Stock Footage · Ralenti;Documentaire
Sterna – Intégration Brésiliens;Communautaire · Conversation · Restaurant · Hiver · Entrepôt · Employés;10 000 – 20 000$;Humour · Sérieux · Dynamique · Informatif · Énergétique · Émotion;Entrevue · B-roll · Épaule · Stabilisateur · Drone · Trépied · Ralenti;Documentaire
STERNA – Intégration Brésiliens;Événement;10 000 – 20 000$;Dynamique · Enjoué · Nostalgique · Émotion;Entrevue · B-roll · Épaule · Drone · Trépied;Documentaire
Stevens – Gillette;Acteur · Produit · Message visuel;1000 – 3000$;Dynamique · Informatif;Épaule · Stabilisateur · Photos · Photo Flash;Story
Stevens – Mcdo;Acteur · Nourriture · Restaurant · Produit · Animateur · Conversation;1000 – 3000$;Humour · Dynamique · Énergétique;Épaule · Verticale · Téléphone;Story
Stevens – NFL;Acteur · Nourriture · Produit · Sports · Événement;1000 – 3000$;Dynamique · Passion;Épaule · Verticale · Téléphone;Story
Stevens – Nivea;Acteur · Produit · Gym · Santé · Sports;3000 – 5000$;Sérieux · Passion · Énergétique;Épaule · Stabilisateur · Verticale;Publicité
Stevens – Sportexpert;Acteur · Gym · Vêtements · Santé · Nature · Sports;1000 – 3000$;Sérieux · Dynamique · Énergétique · Passion;Épaule · Verticale;Story
Stevens – Work;Acteur · Bureau · Produit · Bijoux;1000 – 3000$;Passion · Sérieux;Épaule · Ralenti · Verticale;Story
Stores Parent – Spot TV;Acteur · Bière et vin · Produit;10 000 – 20 000$;Humour;Trépied · Voix-off;Publicité
STSV – Transport Adapté;Voiture · Communautaire · Santé;3000 – 5000$;Informatif · Dynamique · Enjoué · Émotion;Épaule · Drone;Publicité
Tanguy – Steppe;—;—;—;—;Vidéoclip
Top Team Building – Pub;Acteur · Bureau · Conversation;3000 – 5000$;Humour;Trépied;Publicité
Trigenex – Présentation;Construction · Bureau · Technologie · Science;3000 – 5000$;Passion · Dynamique;Entrevue · B-roll · Épaule · Stabilisateur · Drone · Stock Footage · Vidéo portrait;Corpo
Valspec – Lucky Pierre;Musique · Art · Événement;1000 – 3000$;Dynamique · Passion · Festif;B-roll · Stabilisateur · Ralenti;Événement
Venici – Pub;Acteur · Produit · Bijoux;10 000 – 20 000$;Dynamique · Énergétique · Passion;Épaule · Trépied · Ralenti · Voix-off;Publicité
Ville de Beauharnois – Fête nationale 2024;Voiture · Communautaire · Enfant · Jouets · Événement · Festival;1000 – 3000$;Dynamique · Énergétique · Enjoué · Festif;Épaule · Drone;Événement
